parti;groupe;
Front des jeunes progressistes;Centre gauche;
Union des démocrates de progrès;Centre;
Union gaulliste pour la démocratie;Droite gaulliste;
hors des partis;Indépendant/micro-partis;
écologiste indépendant;Ecologiste;
écologistes indépendants des partis politiques;Ecologiste;
Progrès et Liberté;Indépendant/micro-partis;
Verts alternatifs;Ecologiste;
Solidarités écologie;Ecologiste;
Ordre nouveau;Extrême-droite;
Gaullistes de progrès;Droite gaulliste;
Mouvement pour une nouvelle humanité;Indépendant/micro-partis;
Clubs Perspectives et réalités;Indépendant/micro-partis;
Association des usagers de l'administration et des services publics;Indépendant/micro-partis;
Organisation des communistes travailleurs;Extrême-gauche;
Fédération radicale-socialiste;Centre gauche;
Alsace d'abord;Régionaliste/Autonomiste;
Parti communiste martiniquais;Régionaliste/Autonomiste;
Centre féminin d'études et d'information;Action spécifique;
Indépendants et paysans;Action spécifique;
Ligue des droits de l'Homme;Action spécifique;
radical indépendant;Centre gauche;
Fédération de l'Education nationale;Action spécifique;
Fédération nationale des républicains indépendants;Droite libérale;
Chrétiens pour un monde nouveau;Indépendant/micro-partis;
démocrate;Centre droit;
Présence et action du gaullisme;Droite gaulliste;
Comité de liaison d'action locale et régionale;Indépendant/micro-partis;
Parti radical et radical-socialiste;Centre gauche;
Humaniste;Indépendant/micro-partis;
Mouvement pour l'autodétermination;Régionaliste/Autonomiste;
Nice écologie;Indépendant/micro-partis;
Mouvement pour une écologie socialiste autogérée;Extrême-gauche;
Fédération socialiste;Gauche;
Volèm viure al païs;Régionaliste/Autonomiste;
communiste marxiste-léniniste;Extrême-gauche;
Corsica Nazione;Régionaliste/Autonomiste;
Mouvement de la gauche progressiste;Gauche;
Fédération des élus autogestionnaires;Extrême-gauche;
Centre progrès et démocratie moderne;Centre droit;
Parti libéral;Droite libérale;
Centriste réformateur;Centre;
Ia mana te nunaa;Régionaliste/Autonomiste;
Alternative;Indépendant/micro-partis;
Parti socialiste-démocrate;Gauche;
Jura écologie;Ecologiste;
Comité anti-pollution;Ecologiste;
Mouvement des gaullistes populaires;Droite gaulliste;
Groupe Révolution socialiste;Extrême-gauche;
Mouvement normand;Régionaliste/Autonomiste;
Centre national et républicain;Centre droit;
Groupe écologique;Ecologiste;
Comité Larzac;Action spécifique;
républicains;Droite gaulliste;
Gaulliste de progrès;Droite gaulliste;
Union centriste;Centre;
aucune appartenance politique;Indépendant/micro-partis;
Mouvement démocratie alsacienne;Indépendant/micro-partis;
Mouvement radical;Centre gauche;
abertzale;Régionaliste/Autonomiste;
Comité écologique;Ecologiste;
Gauche radicale-socialiste;Gauche;
Parti social-démocrate;Gauche;
Mouvement rouge et vert;Extrême-gauche;
Comité central bonapartiste;Extrême-droite;
Confédération syndicale du cadre de vie;Régionaliste/Autonomiste;
démocrates;Centre;
droite;Droite libérale;
Parti démocrate français;Indépendant/micro-partis;
Anjou écologie autogestion;Ecologiste;
Rassemblement des radicaux de gauche de l'Essonne;Centre gauche;
Front indépendantiste;Régionaliste/Autonomiste;
Parti vert;Ecologiste;
Démocrate de progrès;Indépendant/micro-partis;
Rassemblement pour la Calédonie dans la République;Régionaliste/Autonomiste;
Parti libéral européen;Action spécifique;
Cercle républicain;Indépendant/micro-partis;
Union du peuple de France;Indépendant/micro-partis;
Union civique;Ecologiste;
Comité d'étude et de liaison des intérêts bretons;Régionaliste/Autonomiste;
Fédération des usagers des transports;Action spécifique;
Union des réformateurs;Indépendant/micro-partis;
Collectif havrais d'écologie;Ecologiste;
Union des associations et comités pour l'environnement de Paris;Ecologiste;
Comité anti-nucléaire;Action spécifique;
Paris écologie;Ecologiste;
Républicain de progrès;Droite libérale;
gaullistes de gauche;Centre gauche;
gauche républicaine libérale;Droite gaulliste;
sans appartenance politique;Indépendant/micro-partis;
Demain l'écologie;Ecologiste;
Centre réformateur;Centre;
Démocrates chrétiens;Centre droit;
Groupe Femmes;Action spécifique;
Clubs Perspectives et Réalités;Indépendant/micro-partis;
libéraux;Droite libérale;
centre indépendant;Centre;
royaliste;Extrême-droite;
Comité Sauver Paris;Indépendant/micro-partis;
Convergences et démocratie;Indépendant/micro-partis;
Centre démocrate et réformateur;Centre droit;
Abertzaleen batasuna;Régionaliste/Autonomiste;
Jeunesses communistes révolutionnaires;Extrême-gauche;
Union de la jeunesse et des créateurs;Action spécifique;
gaullistes;Droite gaulliste;
Unitat catalana;Régionaliste/Autonomiste;
Union des démocrates chrétiens;Centre droit;
